username,register_ts,device_os,lang,country,day_reg
richarddavid,2022-03-26 16:06:15,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country2,2022-03-26
josephromero,2022-05-11 16:08:05,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country2,2022-05-11
erica34,2022-06-11 19:40:10,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country2,2022-06-11
dennis00,2023-04-10 11:28:45,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang2,country2,2023-04-10
daniel91,2023-05-10 10:16:48,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country3,2023-05-10
burnselizabeth,2022-11-22 17:08:40,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang1,country3,2022-11-22
philiphahn,2022-04-22 13:12:26,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country3,2022-04-22
rachel84,2022-08-17 11:52:20,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country1,2022-08-17
jennifer05,2022-09-28 17:56:28,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2022-09-28
sheila90,2022-06-18 17:56:20,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country2,2022-06-18
palexander,2022-07-02 17:33:04,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country2,2022-07-02
lisajones,2022-12-31 11:31:08,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang2,country2,2022-12-31
richardjackson,2022-06-08 16:31:33,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country1,2022-06-08
laurajackson,2022-11-12 20:12:00,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2022-11-12
mcgrathtyler,2022-04-06 16:01:29,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country2,2022-04-06
edwardschristina,2022-08-26 15:03:17,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang2,country2,2022-08-26
antoniowells,2022-08-25 12:00:43,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang2,country2,2022-08-25
josephrodriguez,2022-11-24 19:58:39,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country3,2022-11-24
michaelfox,2022-11-27 19:33:25,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang2,country2,2022-11-27
angela63,2023-03-19 19:48:59,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang2,country2,2023-03-19
matthewcrawford,2023-05-25 13:05:13,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang2,country2,2023-05-25
vgibbs,2022-10-02 17:12:42,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang2,country2,2022-10-02
cbrock,2022-12-19 21:50:43,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country3,2022-12-19
davidmurphy,2022-04-24 19:43:22,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country2,2022-04-24
murphyrobert,2022-06-16 10:06:57,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country2,2022-06-16
mayerphilip,2022-10-19 15:26:38,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang2,country2,2022-10-19
morganbauer,2022-06-12 14:09:20,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country2,2022-06-12
darrell37,2022-04-10 19:01:34,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country2,2022-04-10
raymond91,2022-09-20 19:26:02,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country3,2022-09-20
richardkeith,2022-10-02 21:37:27,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang2,country2,2022-10-02
jordan61,2022-12-24 18:58:19,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang2,country2,2022-12-24
douglastraci,2022-12-03 14:23:51,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang2,country2,2022-12-03
vasquezkelly,2022-10-31 21:58:10,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang1,country3,2022-10-31
scottjason,2022-06-25 14:13:58,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang1,country2,2022-06-25
david17,2022-07-22 14:05:35,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country2,2022-07-22
kevin72,2022-07-22 17:03:49,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang1,country3,2022-07-22
bbauer,2022-06-18 10:00:42,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country1,2022-06-18
sandovalryan,2023-04-03 20:42:46,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,lang2,country2,2023-04-03
dianeanderson,2022-05-24 14:36:18,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country3,2022-05-24
bcastillo,2023-01-05 12:03:39,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang2,country2,2023-01-05
ozhang,2022-07-20 18:15:07,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,lang1,country2,2022-07-20
laura21,2022-11-16 22:20:22,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang2,country2,2022-11-16
melinda36,2022-07-24 17:17:22,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country2,2022-07-24
brian60,2022-08-10 14:35:11,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country2,2022-08-10
johncampbell,2022-07-30 18:59:48,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country3,2022-07-30
lauren19,2022-05-30 13:22:17,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country1,2022-05-30
melissamclaughlin,2022-08-13 20:11:51,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang1,country2,2022-08-13
catherine61,2023-01-12 11:47:48,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang2,country2,2023-01-12
qsanders,2023-04-09 13:08:09,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang2,country2,2023-04-09
anthonywilliams,2022-05-27 16:12:29,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang1,country2,2022-05-27
dunnjared,2022-10-03 08:15:46,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang2,country2,2022-10-03
bryan96,2022-11-26 14:47:37,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang2,country2,2022-11-26
andrew14,2022-12-22 19:07:27,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2022-12-22
pharris,2022-04-01 15:27:40,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country2,2022-04-01
kcrosby,2023-04-27 15:29:04,iPhone; CPU iPhone OS 5_1_1 like Mac OS X,lang2,country2,2023-04-27
jacquelinehernandez,2023-05-27 14:47:13,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang2,country2,2023-05-27
sanderspaula,2022-12-04 07:07:07,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2022-12-04
xmarquez,2022-04-09 17:51:50,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang1,country3,2022-04-09
christine59,2023-02-08 08:34:49,iPad; CPU iPad OS 10_3_3 like Mac OS X,lang1,country1,2023-02-08
hannahgibbs,2023-03-03 13:47:17,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang2,country2,2023-03-03
warnerdavid,2022-06-18 22:18:37,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country2,2022-06-18
michaelcox,2022-10-06 18:01:17,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang2,country2,2022-10-06
nmcgee,2023-02-24 10:50:51,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang2,country2,2023-02-24
carlos58,2022-07-26 07:33:58,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country3,2022-07-26
jenniferdavis,2022-08-28 13:51:46,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang2,country2,2022-08-28
vporter,2023-01-02 11:32:01,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang1,country1,2023-01-02
