username,pay_dt,pay_time_dttm,pay_amt,currency
richarddavid,2022-03-27,2022-03-27 16:54:20,1.7537,usd
richarddavid,2022-03-27,2022-03-27 16:27:28,0.1622,usd
richarddavid,2022-03-26,2022-03-26 21:38:06,1.7573,usd
josephromero,2023-06-09,2023-06-09 11:39:09,1.604,usd
josephromero,2023-06-09,2023-06-09 11:45:54,1.604,usd
josephromero,2023-06-09,2023-06-09 12:24:52,1.604,usd
josephromero,2023-03-20,2023-03-20 12:01:41,6.4121,usd
josephromero,2023-03-20,2023-03-20 11:14:55,5.199,usd
josephromero,2023-06-08,2023-06-08 20:26:08,0.7979,usd
josephromero,2023-06-08,2023-06-08 20:36:24,0.3989,usd
josephromero,2023-06-08,2023-06-08 20:42:07,0.3989,usd
josephromero,2023-03-28,2023-03-28 11:57:36,8.1654,usd
josephromero,2023-03-19,2023-03-19 14:28:56,4.3439,usd
josephromero,2023-03-21,2023-03-21 16:43:26,3.4785,usd
josephromero,2023-06-07,2023-06-07 14:51:39,0.2265,usd
erica34,2022-08-25,2022-08-25 16:12:53,3.1869,usd
erica34,2023-01-27,2023-01-27 16:16:29,5.2303,usd
erica34,2022-10-22,2022-10-22 19:33:06,3.4775,usd
erica34,2022-11-02,2022-11-02 13:39:02,29.0943,usd
erica34,2022-11-13,2022-11-13 22:46:36,3.3794,usd
erica34,2022-11-23,2022-11-23 14:43:32,27.3681,usd
erica34,2022-06-29,2022-06-29 11:41:11,11.8472,usd
erica34,2022-06-29,2022-06-29 11:31:54,2.3694,usd
erica34,2022-11-01,2022-11-01 19:07:14,3.439,usd
erica34,2023-02-08,2023-02-08 22:43:49,5.2017,usd
erica34,2022-08-12,2022-08-12 13:00:32,4.8349,usd
erica34,2022-12-05,2022-12-05 21:16:24,4.2595,usd
dennis00,2023-06-09,2023-06-09 09:15:44,9.143,usd
dennis00,2023-05-28,2023-05-28 20:12:46,6.295,usd
dennis00,2023-04-12,2023-04-12 20:10:06,0.4834,usd
dennis00,2023-06-21,2023-06-21 18:55:12,8.936,usd
dennis00,2023-05-03,2023-05-03 14:59:37,3.1504,usd
dennis00,2023-04-25,2023-04-25 13:44:15,8.0972,usd
dennis00,2023-04-25,2023-04-25 15:17:40,8.0972,usd
dennis00,2023-04-25,2023-04-25 20:30:10,3.2388,usd
dennis00,2023-04-25,2023-04-25 22:18:48,1.1336,usd
dennis00,2023-05-24,2023-05-24 18:46:30,0.6514,usd
dennis00,2023-05-24,2023-05-24 17:31:45,3.2568,usd
dennis00,2023-05-24,2023-05-24 13:57:37,4.8852,usd
dennis00,2023-05-24,2023-05-24 14:43:42,0.3256,usd
dennis00,2023-05-16,2023-05-16 17:58:04,1.5248,usd
dennis00,2023-05-16,2023-05-16 17:57:11,3.0496,usd
dennis00,2022-05-25,2022-05-25 11:24:09,1.7834,usd
daniel91,2023-06-09,2023-06-09 07:13:32,35.0,rub
daniel91,2023-06-09,2023-06-09 19:31:54,250.0,rub
burnselizabeth,2023-01-06,2023-01-06 15:40:23,97.0,rub
burnselizabeth,2023-01-27,2023-01-27 22:20:24,200.0,rub
burnselizabeth,2022-12-08,2022-12-08 08:53:08,25.0,rub
burnselizabeth,2022-12-01,2022-12-01 08:34:25,30.0,rub
burnselizabeth,2022-12-05,2022-12-05 14:53:18,97.0,rub
philiphahn,2022-06-08,2022-06-08 04:48:04,47.0,rub
philiphahn,2022-06-21,2022-06-21 18:39:17,47.0,rub
philiphahn,2022-12-12,2022-12-12 16:46:36,47.5,rub
philiphahn,2023-04-11,2023-04-11 15:31:52,100.0,rub
philiphahn,2022-11-04,2022-11-04 16:51:13,47.5,rub
philiphahn,2022-06-17,2022-06-17 17:30:48,47.0,rub
